# Quadriceps.jl catalog of rules128.bin (IEEE binary128) — written by build/build_data.jl; do not edit by hand
# relerr128: largest relative monomial error of the rule rounded to binary128, in wider arithmetic; 2^-112 = 1.93e-34 is the machine epsilon
# extendedfile, sha256: the deposit's 80-digit file (rules_extended/ in the Zenodo archive) the binary128 rule was rounded from;
# relerr80: the deposit's measured error of that 80-digit rule (err_extended in its summary.csv)
family	d	p	n	relerr128	extendedfile	sha256	relerr80
gh	5	9	244	1.590e-34	hermite_d5_p9_q5_n244.mp.csv	2ecdb564a293013adf019ef81bc541610370ecb61679f3fdcef4b11bafc296bc	5.365e-80
gh	5	11	485	2.387e-34	hermite_d5_p11_q6_n485.mp.csv	142f1d046f11ed594878168b7e0c9e87448ab5d67894aa2cec1e795e27e32de3	9.697e-80
gh	5	13	1135	3.349e-34	hermite_d5_p13_q7_n1135.mp.csv	802e84eeba93bc60b4ca7daad484c02fb7a49573d94540d2c91293841c9110ac	1.900e-79
gh	5	15	1767	3.172e-34	hermite_d5_p15_q8_n1767.mp.csv	2f90e264a94db36c61a0f10f115ebdbd6f45331a9a8961c8774bfa833638336e	5.545e-80
gh	5	17	3986	6.172e-34	hermite_d5_p17_q9_n3986.mp.csv	71d6d20752cb6014e5822d8a48277d6256585fc2ef0424b4e3fcaedafca4f410	1.428e-79
gh	5	19	7174	2.799e-34	hermite_d5_p19_q10_n7174.mp.csv	6b0e9a9ca5bdabcbba3847c4a1bbbc9b225fa2943acf1efcf35ca59a1d177ffb	2.969e-79
gh	5	21	13199	4.606e-34	hermite_d5_p21_q11_n13199.mp.csv	128e66b02b41134a01a11a50e3460317b80869d2ba4f01c7a5a113176fb287f8	9.837e-80
le	2	1	1	0.000e+00	legendre_d2_p1_q1_n1.mp.csv	bf286781583edef8b7901f9873553af86460b193af7b8a537ce8cd0ebcf21c2c	0.000e+00
le	2	3	4	2.544e-35	legendre_d2_p3_q2_n4.mp.csv	7e866bf8c748026df3713f2d6e4b91873341041ee5de8078777a6c1b005fc12f	5.245e-75
le	2	5	7	2.407e-35	legendre_d2_p5_q3_n7.mp.csv	11b144993e812fa1f21447c15ca3a892f71dcc11d51e226b34557a3be4cd20e4	1.447e-76
le	2	7	12	1.507e-35	legendre_d2_p7_q4_n12.mp.csv	4e2736a32a3ac5f54a2b3025f3e063f2e8f6c6c06e677ca84c855d7c8a0300a4	1.144e-74
le	2	9	17	1.619e-35	legendre_d2_p9_q5_n17.mp.csv	99ce3a736839d5ca89ec02fcd6d161dc0a2df79ba92917951a3392051575e607	1.438e-78
le	2	11	24	2.132e-35	legendre_d2_p11_q6_n24.mp.csv	ff0457631206348f42cba622b993f8da752c0a84f77d551a04fe2105b9b7a8cb	4.713e-73
le	2	13	33	4.549e-36	legendre_d2_p13_q7_n33.mp.csv	a5157e94da3e32173b02e7748f7eee7c60682d5e3c9f8a7be6c03b986f14a22d	4.148e-72
le	2	15	43	2.257e-35	legendre_d2_p15_q8_n43.mp.csv	931e1e11ea5af6266180c9502423f3471d0e6bea138831d4a73a6fe939b1be62	6.695e-74
le	2	17	54	1.642e-35	legendre_d2_p17_q9_n54.mp.csv	7c9a318815f0e8990607e9ac3add9c2858815ea880e29c5c724b89c08a6ca53a	1.466e-78
le	2	19	67	8.455e-36	legendre_d2_p19_q10_n67.mp.csv	6490e8b4572666ce4c104c24763b9f0fee3f7b16d654012aebc2ae06b5bea81b	1.397e-71
le	2	21	81	1.091e-35	legendre_d2_p21_q11_n81.mp.csv	44b23ae6faad0e88bdadafd2fd068937d1a8fa518de2a52d6b2c615f3f27ceb6	1.435e-78
le	2	23	96	1.062e-35	legendre_d2_p23_q12_n96.mp.csv	8d5db173a5d92d6a0a1dd165599ba515b79ef23a9eae8e1ad76919b05b7456f2	2.476e-78
le	2	25	113	5.953e-36	legendre_d2_p25_q13_n113.mp.csv	f1fd5ea29a6242be61324f9881d6c70f09c329cebe82bf033f45d1dbd8105313	1.896e-70
le	2	27	131	6.060e-36	legendre_d2_p27_q14_n131.mp.csv	0d3442211bd71d0a0a81c2c342a42c56e9433413ad0e285f2615077a4f150230	1.178e-70
le	2	29	150	8.807e-36	legendre_d2_p29_q15_n150.mp.csv	5da015a65e6606c68f9b0119dc4872f9e30cc28629ac01838c519b6a3d216248	1.295e-78
le	2	31	171	5.830e-36	legendre_d2_p31_q16_n171.mp.csv	ded92dd95ca9e294793f6b01b18a85380e8637f95fc0401d61e46d7f084f4c3a	2.681e-72
le	2	33	194	1.342e-35	legendre_d2_p33_q17_n194.mp.csv	c62a896acd6bf34a224e59d3291ccacdb34105a5eacf0a94a4c10fd3d3db38fe	2.722e-73
le	2	35	216	9.686e-36	legendre_d2_p35_q18_n216.mp.csv	41e6f60fda75c8f9d10a90e462b8311fc8c9d34aff0e44dd9ac779c94e4ac18d	1.922e-77
le	2	37	242	7.335e-36	legendre_d2_p37_q19_n242.mp.csv	e5b528a68ab4b701abb0f680821e05a063bb5cbd9e598d5d5c4c9a7f3ea859f2	5.308e-76
le	2	39	268	6.583e-36	legendre_d2_p39_q20_n268.mp.csv	190371e16c226eba98bcd43e5a29ea7bef016a5f976bf4c9ac19d327c1cdb1f2	3.119e-73
le	2	41	294	4.228e-36	legendre_d2_p41_q21_n294.mp.csv	e2ed35aa653be1b43fdcf9bd80a63906923257dcc272e090e6f6741cfe6b3183	3.790e-74
le	2	43	324	1.127e-35	legendre_d2_p43_q22_n324.mp.csv	5b6047431ddd9a08197959d2c9122a9089974759e5f6c616a5fd4dfd4f6e7677	8.643e-73
le	2	45	356	6.562e-36	legendre_d2_p45_q23_n356.mp.csv	f1eda07d68fa50eb85f40903d6deb196217eb0e7a01771ceefc0396010e56f8e	8.913e-72
le	2	47	388	4.855e-36	legendre_d2_p47_q24_n388.mp.csv	104d09dd79fa8a47b816adab029a27998564cbaaea98a87dad442cdf1d142515	2.133e-71
le	2	49	422	8.562e-36	legendre_d2_p49_q25_n422.mp.csv	44214dcd93b7494f8fbe842d1e60cd1d95856be50e56d0a8d6304af1a452a171	2.458e-78
le	2	51	456	3.856e-36	legendre_d2_p51_q26_n456.mp.csv	4b943b0d535bc485ab0f2139687889119556b90a97a5c07a8f7ee6aa62815bcd	8.068e-73
le	2	53	492	3.447e-36	legendre_d2_p53_q27_n492.mp.csv	4f49c65492d0108c7bccc020d39a74ab897318b29a5b0dd319f5f35d919b2721	7.139e-75
le	2	55	528	4.938e-36	legendre_d2_p55_q28_n528.mp.csv	9d4834f342d63be8d4c5fe56dd5d525cf1e2935212c76b1df5879a4ab627e3b2	2.688e-70
le	2	57	570	5.778e-36	legendre_d2_p57_q29_n570.mp.csv	4eb2f85a3c792c7409db466f42376ca22ced3d8fbf1e0471f9614181cb0b43a1	2.025e-71
le	2	59	606	4.264e-36	legendre_d2_p59_q30_n606.mp.csv	49ffdbb175f62fae3d8d2649aa1140ed3aa18c28297f740efe9cf936a837f625	1.201e-72
le	2	61	642	3.862e-36	legendre_d2_p61_q31_n642.mp.csv	9c517051b23a4773e0a17b15d30141414fd9bddc776eb9103ba9e64cbac39928	1.970e-78
le	2	63	692	2.811e-36	legendre_d2_p63_q32_n692.mp.csv	4744258d5d5f7c6009f1586b4d0a863d0108253c3a5a2222ebd4c72624043ebf	1.059e-74
le	2	65	732	4.344e-36	legendre_d2_p65_q33_n732.mp.csv	f2d90cbbf9e745fd605c9cce9541371f3299c19f0ae5a4c12a8d38c6541d3ceb	5.705e-71
le	2	67	780	2.511e-36	legendre_d2_p67_q34_n780.mp.csv	e508dba1af671f1403c30ab4dd58c9023ce213b6ad5a1af5832b969b716a38ba	1.953e-73
le	2	69	826	2.966e-36	legendre_d2_p69_q35_n826.mp.csv	3493bcda46dbeeb3e3a7a87b09673b915349ab9813a564738161cd15af1bd3a5	1.005e-70
le	2	71	872	4.701e-36	legendre_d2_p71_q36_n872.mp.csv	07bb25c4f5c17e049749832dbbac1c8bc1491178f4f61c7a04c2368bb8cb2868	2.139e-73
le	2	73	922	3.308e-36	legendre_d2_p73_q37_n922.mp.csv	24f28491b87e03ae1b645faf6d27666188c8a0da70a4c9d2a3387007dd8e7841	1.515e-70
le	2	75	980	4.927e-36	legendre_d2_p75_q38_n980.mp.csv	8a2fb8943e544e6bae9d62d98125a27479ec4ea9c65df6464e812843b89806e9	2.054e-70
le	2	77	1032	5.587e-36	legendre_d2_p77_q39_n1032.mp.csv	0e3ab22fe3e7ac30a967849ffc44159ea1f04fb1c3c6e3b644a314429eada79a	6.859e-74
le	3	1	1	0.000e+00	legendre_d3_p1_q1_n1.mp.csv	88d11857773d4299dcfa82b86cf66b4bf0a99983909731f89841096e1a454b4d	0.000e+00
le	3	3	6	1.797e-35	legendre_d3_p3_q2_n6.mp.csv	6d30f62a6b8882031a961f2fcccfc14c167592f4aacc8c0bf487f8ed4c11d829	1.143e-76
le	3	5	13	9.691e-36	legendre_d3_p5_q3_n13.mp.csv	b67e3e36afab705a00c5fe785fbbbff3cfaf1651d02b10d14ccf07857bad88aa	4.866e-76
le	3	7	26	1.806e-35	legendre_d3_p7_q4_n26.mp.csv	d6c11ba4e18d57fa5654d154efdd607f2fc04e7bdd386f8b547379c4d2cb18d4	6.932e-76
